"id","name","email","password","profilePicture","description","dateOfBirth","language","createdAt","skill","currentEducation","experienceYears","interest","learningResource","tools","filledInformation"
"05bad4a0-5d10-4b4f-ab27-0e54403bdda4","Beulah Parker","Charlene13@yahoo.com","f3794331-6486-4039-8807-082f3ae40c9d",,,"2011-08-27 12:10:03.623","English","2024-09-02 02:08:21.839","Recommender Systems;AI in Education","Elementary","1","Cognitive Computing;Neural Networks;AI in Finance;AI in Education;AI for Games;;AI Planning and Optimization;Robotics;Reinforcement Learning;Deep Learning;Recommender Systems;Generative AI;Natural Language Processing;Expert Systems","Stanford Online;Harvard Online;MIT OpenCourseWare;edX;YouTube;Coursera;GitHub;;Kaggle;Udemy;DeepLearning.ai","DataRobot;Microsoft Azure AI;OpenAI GPT;IBM Watson;TensorFlow;OpenCV;Keras;Weka;Scikit-learn;RapidMiner;BigML;","0"
"05cd7644-56a9-4de9-83b2-37909a575869","Judith Kris","Moses.Mills@hotmail.com","6a9e2711-43cb-4b04-9e8e-32222cd73421",,,"2011-09-20 05:53:11.722","Thai","2024-09-02 02:08:21.839","Neural Networks;Reinforcement Learning;Natural Language Processing;AI Planning and Optimization;Cognitive Computing;;Robotics;Expert Systems;Computer Vision","Master Degree","4","Speech Recognition;AI in Finance;AI Ethics;Recommender Systems;Cognitive Computing;AI in Education;Generative AI;Expert Systems;Natural Language Processing;Deep Learning;Machine Learning;Robotics;Computer Vision;Neural Networks;Autonomous Vehicles","Udemy;YouTube;edX;DeepLearning.ai;Kaggle;GitHub;;Stanford Online;MIT OpenCourseWare;Google AI;Coursera","PyTorch;Amazon SageMaker;RapidMiner;Scikit-learn;OpenCV;Weka;TensorFlow;DataRobot;Microsoft Azure AI;OpenAI GPT;Keras","0"
"06a5167b-429c-40d7-af95-8c08e3ae8d3c","Dr. Wallace Durgan","Reinhold.Schumm97@gmail.com","3c8b0ddf-9138-4de2-a672-ff50d43d3db5",,,"2009-03-05 17:31:01.222","Mandarin","2024-09-02 02:08:21.839","Deep Learning;Cognitive Computing;Recommender Systems;AI in Education;AI in Healthcare;Neural Networks;AI Planning and Optimization;Speech Recognition","Undergraduate Degree","3","AI in Education;Cognitive Computing;Autonomous Vehicles;Deep Learning;AI for Games;AI in Finance;Machine Learning;Robotics;Recommender Systems;Expert Systems;Computer Vision;AI Planning and Optimization;Generative AI;AI Ethics","DeepLearning.ai;;Coursera;MIT OpenCourseWare","Weka;Hugging Face Transformers;Keras;OpenAI GPT;Microsoft Azure AI;DataRobot","0"
"0a7c5ce8-da53-4462-98b4-15b48159a72c","Mr. Courtney Hayes","Leif_Williamson@yahoo.com","e7c9c46c-34ee-4d0a-af76-c45e8774c295",,,"2016-10-09 15:01:27.809","Arabic","2024-09-02 02:08:21.839","Autonomous Vehicles;;Cognitive Computing;Deep Learning;Generative AI;Machine Learning;Expert Systems","Undergraduate Degree","3","Recommender Systems;AI Planning and Optimization;AI for Games;Neural Networks","MIT OpenCourseWare;Stanford Online","Scikit-learn;;Weka;Microsoft Azure AI;PyTorch;Google Cloud AI;OpenCV;RapidMiner;DataRobot;BigML;OpenAI GPT","0"
"0d1bfc79-4a6b-453c-a275-66924a1c8b5e","Gene Wiegand","Eldon_Kuhn3@hotmail.com","7357d07e-f0af-4255-9c3c-29047d5a0374",,,"2020-03-14 16:21:23.058","Portuguese","2024-09-02 02:08:21.839","Robotics;Reinforcement Learning;Natural Language Processing;AI in Finance;Neural Networks;Autonomous Vehicles;AI in Education;Deep Learning;Generative AI","Master Degree","4","Expert Systems;Generative AI;Computer Vision;AI in Finance;Natural Language Processing;AI for Games;Cognitive Computing;AI Planning and Optimization;AI in Healthcare;AI Ethics;Deep Learning;Speech Recognition;Recommender Systems","GitHub;Stanford Online","RapidMiner;;OpenAI GPT;TensorFlow;Google Cloud AI;BigML","0"
"0db9f31f-2cf0-43e3-a019-301e94135edf","Dwayne Olson-Feeney","Roberto29@gmail.com","d53377c4-5578-4ef3-b475-b67ff2ddc938",,,"2015-05-22 00:10:59.129","Greek","2024-09-02 02:08:21.839","Neural Networks;Cognitive Computing","Elementary","1","Cognitive Computing;Deep Learning;AI in Healthcare;AI Planning and Optimization;Robotics;Speech Recognition;Autonomous Vehicles","edX;MIT OpenCourseWare;;Google AI;Udemy;DeepLearning.ai;Harvard Online;Stanford Online;GitHub;YouTube;Kaggle","IBM Watson;PyTorch;Weka;RapidMiner;OpenAI GPT;Microsoft Azure AI;OpenCV;Keras;Hugging Face Transformers;BigML","0"
"0eedbc5c-63a4-4e0a-8704-291f88e5253e","Lola Greenholt","Delores_Greenfelder@hotmail.com","9392ee48-204e-4554-b08d-e98e49e8510d",,,"2005-05-10 02:08:20.325","Greek","2024-09-02 02:08:21.839","Expert Systems;Cognitive Computing;Machine Learning;AI in Healthcare;Recommender Systems;AI Ethics;Speech Recognition;Generative AI;AI in Education;Neural Networks;Natural Language Processing",,"5","Neural Networks;Generative AI;;AI Ethics;Deep Learning","GitHub;Kaggle;Udemy;edX;Coursera;Harvard Online;MIT OpenCourseWare;","Scikit-learn;Weka;Google Cloud AI;Keras;OpenCV;IBM Watson;BigML;TensorFlow;RapidMiner;Hugging Face Transformers;Amazon SageMaker","0"
"0f7fa6be-7004-401c-ae65-75dd7bbfb47b","Kenneth Hauck","Shaylee.Leannon32@hotmail.com","43e236d4-18a4-45ef-8b4c-c7f2a08868a2",,,"2019-07-31 07:46:29.095","Japanese","2024-09-02 02:08:21.839","AI Ethics;;Generative AI;AI for Games;Neural Networks;AI in Education;Speech Recognition;Robotics;Reinforcement Learning","Master Degree","4","Autonomous Vehicles;Cognitive Computing;AI in Education","Udemy;GitHub;Coursera;Harvard Online;YouTube;DeepLearning.ai;MIT OpenCourseWare","Weka;OpenAI GPT;BigML;Google Cloud AI;TensorFlow;Keras;OpenCV;IBM Watson;DataRobot","0"
"107262b0-8e71-4d09-9707-4a0409214dbe","Ernesto Little","Eliane_Batz@hotmail.com","0a0d79e5-a81a-4a3f-8fee-4f4a374e620a",,,"2023-06-25 10:17:41.157","Polish","2024-09-02 02:08:21.839","AI Ethics;Neural Networks;Deep Learning;Speech Recognition","Middle School","2","Recommender Systems;Robotics;;Expert Systems",";YouTube;MIT OpenCourseWare;Google AI;Stanford Online;DeepLearning.ai;Kaggle","Hugging Face Transformers;IBM Watson;DataRobot;BigML","0"
"1222bf9a-7668-401f-964b-58027b968718","Hugo Kohler","Margarett.Metz24@yahoo.com","4507a615-fbbf-41b8-97cb-caae115215aa",,,"2014-11-15 22:42:20.224","Spanish","2024-09-02 02:08:21.839","Expert Systems;Generative AI;Neural Networks;AI in Finance;AI in Healthcare;AI for Games;Recommender Systems;Autonomous Vehicles;Speech Recognition;Natural Language Processing;AI Ethics",,"5","AI in Finance;AI Planning and Optimization;AI Ethics;Reinforcement Learning;Machine Learning;Expert Systems;Autonomous Vehicles;AI in Healthcare;Recommender Systems;Computer Vision;Cognitive Computing;Deep Learning;Robotics;Speech Recognition;;AI in Education;Neural Networks;Natural Language Processing","Coursera;Udemy;DeepLearning.ai;;edX;YouTube;Google AI;MIT OpenCourseWare","RapidMiner;;Amazon SageMaker;IBM Watson;OpenAI GPT;DataRobot;Hugging Face Transformers;OpenCV;Scikit-learn;Microsoft Azure AI;Keras;PyTorch","0"
