"id","name","description","email","password","profilePicture","dateOfBirth","createdAt","currentEducation","experienceYears","interest","language","learningResource","skill","tools","filledInformation"
"09402335-8314-428f-9034-05f82dbb6e86","Holly Murazik",,"Billy14@gmail.com","31cea5db-8114-42d5-9af6-0f5437689193",,"2024-06-22 14:50:47.573","2024-08-29 04:56:18.804","Elementary","1","Natural Language Processing;Machine Learning;Autonomous Vehicles;Deep Learning;;Recommender Systems;Generative AI;Speech Recognition;Robotics;AI in Finance;Cognitive Computing;Neural Networks","Bengali","YouTube;MIT OpenCourseWare;Google AI;GitHub;Coursera;DeepLearning.ai;edX","Coursera;DeepLearning.ai","OpenAI GPT;TensorFlow;Keras;BigML;OpenCV;IBM Watson","0"
"0954250a-ff74-4d53-9a24-158079dc4c46","Orville Stehr",,"Irma29@yahoo.com","dbf2a453-9447-4618-8b2a-d7f9dc0f6ad8",,"2014-09-13 13:53:01.835","2024-08-29 04:56:18.804","Master Degree","4","Speech Recognition;Computer Vision;Expert Systems;;AI for Games","Polish","Kaggle;edX;Udemy;YouTube;GitHub;Harvard Online;DeepLearning.ai;MIT OpenCourseWare","Harvard Online;Google AI;GitHub;edX;Stanford Online;Coursera;YouTube;MIT OpenCourseWare;DeepLearning.ai","OpenCV;TensorFlow;PyTorch;OpenAI GPT;Google Cloud AI;RapidMiner;Microsoft Azure AI;BigML;DataRobot;Scikit-learn;Hugging Face Transformers;IBM Watson","0"
"0ddaa6f8-dd89-436c-9f32-3e6681196334","Arnold Swaniawski",,"Ernestine.Powlowski@yahoo.com","ba269413-c332-47a0-981a-33b8d3aa05b3",,"2021-07-16 02:12:36.682","2024-08-29 04:56:18.804","Master Degree","4","Recommender Systems","Korean","Harvard Online;Coursera;edX;Stanford Online;MIT OpenCourseWare;GitHub;YouTube","YouTube;Kaggle;edX;Harvard Online;Stanford Online;Udemy;MIT OpenCourseWare;GitHub;Google AI","PyTorch;RapidMiner;Keras;BigML;Scikit-learn;OpenAI GPT;DataRobot;Amazon SageMaker;Microsoft Azure AI;Hugging Face Transformers;TensorFlow;OpenCV;Weka;Google Cloud AI;IBM Watson","0"
"0de5ae3b-df5f-4b37-b2ff-bf02688cf82d","Ms. Audrey Lind",,"Joannie54@hotmail.com","18cbdad7-e522-4bb5-8fd8-9208ebfc37d2",,"2023-02-04 14:21:28.505","2024-08-29 04:56:18.804","Undergraduate Degree","3","Autonomous Vehicles;AI for Games;Robotics","Portuguese","MIT OpenCourseWare;Google AI;Stanford Online;Harvard Online;Coursera;YouTube;edX;Udemy;Kaggle;;DeepLearning.ai","Kaggle;edX;Stanford Online;;MIT OpenCourseWare;DeepLearning.ai;YouTube;Google AI","OpenCV","0"
"0e2d3a93-8e69-4e94-bfe7-3b6389fadd9e","Dr. Yvonne Jacobi",,"Melvin_Lang12@gmail.com","79bf5885-8b1b-4892-9f6c-8407c3ed7d75",,"2022-07-26 14:30:07.239","2024-08-29 04:56:18.804","Elementary","1","Computer Vision;Speech Recognition;AI in Education;Natural Language Processing;Autonomous Vehicles;AI in Healthcare;Generative AI;Deep Learning;Expert Systems;Machine Learning;AI Planning and","German","MIT OpenCourseWare;YouTube;Stanford Online;edX;;Coursera;GitHub;Harvard Online","Harvard Online;MIT OpenCourseWare","RapidMiner;OpenCV;Microsoft Azure AI;PyTorch","0"
"0fd7f501-e247-4d66-bb2e-482bcd5598b7","Lee Pacocha",,"Antonietta_Wunsch50@hotmail.com","2ac1106e-0bd1-409c-b887-21bd39688a41",,"2008-02-28 03:19:34.852","2024-08-29 04:56:18.804","Elementary","1","Robotics;AI Planning and Optimization;Natural Language Processing;Computer Vision;AI Ethics;Recommender Systems;AI for Games;Expert Systems;;AI in Education;Autonomous Vehicles;Deep Learning;","Thai","GitHub;edX;Harvard Online;;Stanford Online","YouTube;Coursera","Google Cloud AI;PyTorch;OpenCV;Weka;;IBM Watson;OpenAI GPT;TensorFlow;RapidMiner;Hugging Face Transformers;DataRobot;Amazon SageMaker","0"
"11b4c66b-19fa-4e2c-a253-402658b31f03","Juana Stracke",,"Isabella_Cummings@gmail.com","b1a720fd-224b-4323-8289-af58526d7b9c",,"2021-09-14 03:26:21.610","2024-08-29 04:56:18.804","Elementary","1","Reinforcement Learning;Computer Vision;AI in Healthcare;AI for Games;Robotics;Deep Learning;Neural Networks;AI in Finance;Speech Recognition;AI in Education;Generative AI;Natural Language Pro","Dutch","Stanford Online;Coursera;;DeepLearning.ai;Harvard Online;Google AI;Udemy;Kaggle;edX;MIT OpenCourseWare;YouTube","Kaggle;YouTube","RapidMiner;BigML;Scikit-learn","0"
"11dec26c-5706-4f18-892f-13e928042847","Marlene Stracke I",,"Krista.Tillman@gmail.com","1db5786a-7d08-4444-b405-3709d0f5ff41",,"2014-08-22 03:15:27.305","2024-08-29 04:56:18.804","High School","0","AI in Finance;Recommender Systems;AI in Healthcare","Thai","GitHub;;Harvard Online","Kaggle","Weka;;BigML;Google Cloud AI;TensorFlow;Microsoft Azure AI;IBM Watson;DataRobot;Keras;OpenCV;Hugging Face Transformers;OpenAI GPT;PyTorch;Amazon SageMaker;Scikit-learn","0"
"13892b68-8a7e-4c62-ac13-61bd64b562fb","Gabriel Steuber",,"Warren.Gulgowski27@gmail.com","d2d79e78-3c79-414b-8869-d60693296d78",,"2009-03-02 13:21:01.940","2024-08-29 04:56:18.804","University","2",";Generative AI;AI for Games;AI in Healthcare;AI Ethics;Neural Networks;Robotics;Machine Learning;Deep Learning;Speech Recognition;Autonomous Vehicles;AI in Finance;AI in Education;Computer Vi","Turkish","Udemy;MIT OpenCourseWare;YouTube;edX;;Harvard Online;Google AI;Kaggle;Coursera;GitHub;DeepLearning.ai","Kaggle;;Harvard Online;YouTube;Stanford Online;Coursera","OpenCV;DataRobot;RapidMiner;Hugging Face Transformers;Google Cloud AI;Scikit-learn;PyTorch;Amazon SageMaker;TensorFlow;OpenAI GPT;Microsoft Azure AI;IBM Watson;BigML","0"
"13b679ee-36f9-4c01-b4dd-272117189e11","Travis Koss",,"Candace_Bergnaum70@gmail.com","feafe69d-5c61-4eeb-b3fd-8ea250c0ee63",,"2022-11-29 14:42:01.446","2024-08-29 04:56:18.804",,"5","Deep Learning;AI in Healthcare;Neural Networks;Machine Learning;Autonomous Vehicles;AI Ethics;AI in Education;Computer Vision;;Recommender Systems;Natural Language Processing;AI in Finance;Ro","Spanish","Udemy;;DeepLearning.ai;YouTube;Google AI;Kaggle;edX;MIT OpenCourseWare;GitHub;Coursera;Harvard Online","MIT OpenCourseWare;Google AI;YouTube;GitHub;DeepLearning.ai;Harvard Online;Udemy;Stanford Online;Kaggle;Coursera;","PyTorch;Keras;OpenAI GPT;BigML;Hugging Face Transformers;IBM Watson","0"
